locus	vendored_reading	american_edition_reading
1Par.12.15	These are they who passed over the Jordan in the first month, when it is used to flow over its banks: and they put to flight all that dwelt in the valleys both toward the east and toward the west.	These are they who passed over the Jordan in the first month, when it is used to how over its banks: and they put to flight all that dwelt in the valleys both toward the east and toward the west.
1Par.13.1	David consulted with the captains of thousands, and of hundreds, and with all the commanders.	And David consulted with the captains of thousands, and of hundreds, and with all the commanders.
1Par.14.3	And David took other wives in Jerusalem: and he begot sons, and daughters.	And David took other wives in Jerusalem: and he beget sons, and daughters.
1Par.15.22	And Chonenias chief of the Levites, presided over the prophecy, to give out the tunes: for he was very skilful.	And Chonenias chief of the Levites, presided over the prophecy, to give out the tunes: for he was very skillful.
1Par.16.35	And say ye: Save us, O God our savior: and gather us together, and deliver us from the nations, that we may give glory to thy holy name, and may rejoice in singing thy praises.	And say ye: Save us, O God our saviour: and gather us together, and deliver us from the nations, that we may give glory to thy holy name, and may rejoice in singing thy praises.
1Par.17.20	O Lord there is none like thee: and here is no other God beside thee, of all whom we have heard of with our ears.	O Lord there is none like thee: and there is no other God beside thee, of all whom we have heard of with our ears.
1Par.19.1	Now it came to pass that Naas the king of the children of Ammon died, and his son reigned in his stead.	Now it came to pass that Naas the king of the children of Ammon died, and his son reigned is his stead.
1Par.21.15	And he sent an angel to Jerusalem, to strike it: and as he was striking it, the Lord beheld, and took pity for the greatness of the evil: and said to the angel that destroyed: It is enough, now stop thy hand. And the angel of the Lord stood by the thrashingfloor of Ornan the Jebusite.	And he sent an angel to Jerusalem, to strike it: and as he was striking it, the Lord beheld, and took pity for the greatness of the evil: and said to the angel that destroyed: It is enough, now stop thy hand. And the angel of the Lord stood by the thrashing floor of Ornan the Jebusite.
1Par.22.15	Thou hast also workmen in abundance, hewers of stones, and masons, and carpenters, and of all trades the most skilful in their work,	Thou hast also workmen in abundance, hewers of stones, and masons, and carpenters, and of all trades the most skillful in their work,
1Par.23.1	David being old and full of days, made Solomon his son king over Israel.	And David being old and full of days, made Solomon his son king over Israel.
1Par.23.21	The sons of Merari: Moholi, and Musi. The sons of Moholi: Eleazar and Cis.	The sons of Merari: Moholi, and Musi. The sons of Moholi: Eleazar and Cia.
1Par.24.27	The son also of Merari Oziau, and Soam, and Zacchur, and Hebri.	The son also of Merari: Oziau, and Seam, and Zacchur, and Hebri.
1Par.25.3	And of Idithun: the sons of Idithun, Godolias, Sori, Jeseias, and Hasabias, and Mathathias, six, under the hand of their father Idithun, who prophesied with a harp to give thanks and to praise the Lord.	And of Idithun: the sons of Idithun, Godolias, Serf, Jeseias, and Hasabias, and Mathathias, six, under the hand of their father Idithun, who prophesied with a harp to give thanks and to praise the Lord.
1Par.26.6	And to Semei his son were born sons, heads of their families: for they were men of great valour.	And to Semei his son were born sons, herds of their families: for they were men of great valour.
1Par.27.25	And over the king's treasures was Azmoth the son of Adiel: and over those stores which were in the cities, and in the villages, and, in the castles, was Jonathan the son of Ozias.	And over the king's treasures was Azmoth the son of Adiel: and over those stores which were in the cities, and is the villages, and in the castles, was Jonathan the son of Ozias.
1Par.27.27	And over the dressers of the vine yards, was Semeias a Romathite: and over the wine cellars, Zabdias an Aphonite.	And over the dressers of the vineyards, was Semeias a Romathite: and over the wine cellars, Zabdias an Aphonite.
1Par.27.31	And over the sheep Jaziz an Agarene. All these were the rulers of the substance of king David.	And over the sheep Jazia an Agarene. All these were the rulers of the substance of king David.
1Par.28.2	And the king rising up, and standing said: Hear me, my brethren and my people: I had a thought to have built a house, in which the ark of the Lord, and the footstool of our God might rest: and prepared all things for the building.	And the king rising up, and standing said: Hear me, my brethren and my people: I had a thought to have built a house, in which the ark of the Lord, and the footstool of our God might rest: and I prepared all things for the building.
1Par.29.5	And gold for wheresoever there is need of gold: and silver for wheresoever there is need of silver, for the works to be made by the hands of the artificers: now if any man is willing to offer, let him fill his hand to day, and offer what he pleaseth to the Lord.	And gold for wheresoever there is need of gold: and silver for wheresoever there is need of silver, for the works to be made by the hands of the artificers: now if any man is willing to offer, let him fill his hand today, and offer what he pleaseth to the Lord.
2Par.2.7	Send me therefore a skilful man, that knoweth how to work in gold, and in silver, in brass, and in iron, in purple, in scarlet and in blue, and that hath skill in engraving, with the artificers, which I have with me in Judea and Jerusalem, whom David my father provided.	Send me therefore a skillful man, that knoweth how to work in gold, and in silver, in brass, and in iron, in purple, in scarlet and in blue, and that hath skill in engraving, with the artificers, which I have with me in Judea and Jerusalem, whom David my father provided.
2Par.2.8	Send me also cedars, and fir trees, and pine trees from Libanus: for I know that thy servants are skilful in cutting timber in Libanus, and my servants shall be with thy servants,	Send me also cedars, and fir trees, and pine trees from Libanus: for I know that thy servants are skillful in cutting timber in Libanus, and my servants shall be with thy servants,
2Par.2.13	I therefore have sent thee my father Hiram, a wise and most skilful man,	I therefore have sent thee my father Hiram, a wise and most skillful man,
2Par.5.1	Then Solomon brought in all those things that David his father had vowed, the silver, and the gold, and all the vessels he put among the treasures of the house of God.	Then Solomon brought in all the things that David his father had vowed, the silver, and the gold, and all the vessels he put among the treasures of the house of God.
2Par.6.16	Now then, O Lord God of Israel, fulfil to thy servant David my father, whatsoever thou hast promised him, saying: There shall not fail thee a man in my sight, to sit upon the throne of Israel: yet so that thy children take heed to their ways, and walk in my law, as thou hast walked before me.	Now then, O Lord God of Israel, fulfill to thy servant David my father, whatsoever thou hast promised him, saying: There shall not fail thee a man in my sight, to sit upon the throne of Israel: yet so that thy children take heed to their ways, and walk in my law, as thou hast walked before me.
2Par.6.23	Then hear thou from heaven, and do justice to thy servants, so to requite the wicked by making his wickedness fall upon his own head, and to revenge the just, rewarding him according to his justice.	Then hear thou from heaven, and do justice to thy servants, so as to requite the wicked by making his wickedness fall upon his own head, and to revenge the just, rewarding him according to his justice.
2Par.6.26	If the heavens be shut up, and there fall no rain by reason of the sin of the people, and they shall pray to thee in this place, and confess to thy name, and be converted from their sins, where thou dost afflict them,	If the heavens be shut up, and there fall no rain by reason of the sins of the people, and they shall pray to thee in this place, and confess to thy name, and be converted from their sins, when thou dost afflict them,
2Par.8.5	And he built Beth-horon the upper, and Beth-horon the nether, walled cities with gates and bars and locks.	And he built Beth-horon the upper, and Beth-horon the nether, walled cities with Rates and bars and locks.
2Par.8.18	And Hiram sent him ships by the hands of his servants, and skilful mariners, and they went with Solomon's servants to Ophir, and they took thence four hundred and fifty talents of gold, and brought it to king Solomon.	And Hiram sent him ships by the hands of his servants, and skillful mariners, and they went with Solomon's servants to Ophir, and they took thence four hundred and fifty talents of gold, and brought it to king Solomon.
2Par.9.8	Blessed be the Lord thy God, who hath been pleased to set thee on his throne, king of the Lord thy God. Because God loveth Israel, and will preserve them forever: therefore hath he made thee king over them, to do judgment and justice.	Blessed be the Lord thy God, who hath been pleased to set thee on his throne, king of the Lord thy God. Because God loveth Israel, and will preserve them for ever: therefore hath he made thee king over them, to do judgment and justice.
2Par.9.14	Beside the sum which the deputies of divers nations, and the merchants were accustomed to bring, and all the kings of Arabia, and the lords of the lands, who brought gold and silver to Solomon.	Beside the sum which the deputies of divers nations, and the merchants were accustomed to bring, and all the kings of Arabia, and the lords of the lands, who I brought gold and silver to Solomon.
2Par.11.21	And Roboam loved Maacha the daughter of Absalom above all his wives and concubines: for he had married eighteen wives, and threescore concubines: and he begot eight and twenty sons, and threescore daughters.	And Roboam loved Maacha the daughter of Absalom above all his wives, and concubines: for he had married eighteen wives, and threescore concubines: and he beget eight and twenty sons, and threescore daughters.
2Par.14.11	And he called upon the Lord God, and said: Lord, there is no difference with thee, whether thou help with few, or with many: help us, O Lord our God: for with confidence in thee, and in thy name we are come against this multitude. O Lord thou art our God, let not man prevail against thee.	And he called upon the Lord God, and said: O Lord, there is no difference with thee, whether thou help with few, or with many: help us, O Lord our God: for with confidence in thee, and in thy name, we are come against this multitude. O Lord thou art our God, let not man prevail against thee.
2Par.15.14	And they swore to the Lord with a loud voice with joyful shouting, and with sound of trumpet, and sound of cornets,	And they swore to the Lord with a loud voice with joyful shouting, and with sound of trumpet, and sound of comets,
2Par.16.4	And when Benadad heard this, he sent the captains of his armies against the cities of Israel: and they took Ahion, and Dan, and Abelmaim, and all the walled cities of Nephtali.	And then Benadad heard this, he sent the captains of his armies against the cities of Israel: and they took Ahion, and Dan, and Abelmaim, and all the walled cities of Nephtali.
2Par.17.4	But in the God of his father, and walked in his commandments, and not according to the sins of Israel.	But in the God of his father, and walk in his commandments, and not according to the sins of Israel.
2Par.18.5	So the king of Israel gathered together of the prophets four hundred men, and he said to them: Shall we go to Ramoth Galaad to fight, or shall we forbear? But they said: Go up, and God will deliver into the king's hand.	So the king of Israel gathered together of the prophets four hundred men, and he said to them: Shall we go to Ramoth Galaad to fight, or shall we forbear? But they said: Go up, and God will deliver it into the king's hand.
2Par.18.25	And the king of Israel commanded, saying: Take Micheas, and carry him to Amon the governor of the city, and to Joas the son of Amelech,	And the king of Israel commanded, saying: Take Micheas, and carry him to Amen the governor of the city, and to Joas the son of Amelech,
2Par.20.16	To morrow you shall go down against them: for they will come up by the ascent named Sis, and you shall find them at the head of the torrent, which is over against the wilderness of Jeruel.	Tomorrow you shall go down against them: for they will come up by the ascent named Sis, and you shall find them at the head of the torrent, which is over against the wilderness of Jeruel.
2Par.20.17	It shall not be you that shall fight, but only stand with confidence, and you shall see the help of the Lord over you, O Juda, and Jerusalem: fear ye not, nor be you dismayed: to morrow you shall go out against them, and the Lord will be with you.	It shall not be you that shall fight, but only stand with confidence, and you shall see the help of the Lord over you, O Juda, and Jerusalem: fear ye not, nor be you dismayed: tomorrow you shall go out against them, and the Lord will be with you.
2Par.21.12	And there was a letter brought him from Eliseus the prophet, in which it was written: Thus saith the Lord the God of David thy father: Because thou hast not walked in the ways of Josaphat thy father nor in the ways of Asa king of Juda,	And there was a letter brought him from Elias the prophet, in which it was written: Thus saith the Lord the God of David thy father: Because thou hast not walked in the ways of Josaphat thy father nor in the ways of Asa king of Juda,
2Par.25.9	And Amasias said to the man of God: What will then become of the hundred talents which I have given to the soldiers of Israel? and the man of God answered him: The Lord is rich enough to be able to give thee much more than this.	And Amasias said to the man of God: What will then become of the hundred talents which I have given to the soldiers of Israeli and the man of God answered him: The Lord is rich enough to be able to give thee much more than this.
2Par.25.23	And Joas king of Israel took Amasias king of Juda, the son of Joas, the son of Joachaz, in Bethsames, and brought him to Jerusalem: and broke down the walls thereof from the gate of Ephraim, to the gate of the corner, four hundred cubits.	And Joas king of Israel took Amasias king of Juda, the son of Joas, the son Joachaz, in Bethsames, and brought him to Jerusalem: and broke down the walls thereof from the gate of Ephraim, to the gate of the corner, four hundred cubits.
2Par.28.15	And the men, whom we mentioned above, rose up and took the captives, and with the spoils clothed all them that were naked: and when they had clothed and shod them, and refreshed them with meat and drink, and anointed them because of their labour, and had taken care of them, they set such of them as could not walk, and were feeble, upon beasts, and brought them to Jericho the city of palm trees to their brethren, and they returned to Samaria.	And the men, whom we mentioned above, rose up and took the captives, and with the spoils clothed all them that were naked: and when they had clothed and shed them, and refreshed them with meat and drink, and anointed them because of their labour, and had taken care of them, they set such of them as could not walk, and were feeble, upon beasts, and brought them to Jericho the city of palm trees to their brethren, and they returned to Samaria.
2Par.30.8	Harden not your necks, as your fathers did: yield yourselves to the Lord, and come to his sanctuary, which he hath sanctified forever: serve the Lord the God of your fathers, and the wrath of his indignation shall be turned away from you.	Harden not your necks, as your fathers did: yield yourselves to the Lord, and come to his sanctuary, which he hath sanctified for ever: serve the Lord the God of your fathers, and the wrath of his indignation shall be turned away from you.
2Par.32.30	This same Ezechias was, he that stopped the upper source of the waters of Gihon, and turned them away underneath toward the west of the city of David: in all his works he did prosperously what he would.	This same Ezechias was, he that stopped the upper source of the waters of Gihon, and turned them away underneath toward the west of the city of David: in ail his works he did prosperously what he would.
2Par.33.20	And Manasses slept with his fathers, and they buried him in his house: and his son Amon reigned in his stead.	And Manasses slept with his fathers. and they buried him in his house: and his son Amen reigned in his stead.
2Par.33.21	Amon was two and twenty years old when he began to reign, and he reigned two years in Jerusalem.	Amen was two and twenty years old when he began to reign, and he reigned two years in Jerusalem.
2Par.33.22	And he did evil in the sight of the Lord, as Manasses his father had done: he sacrificed to all the idols which Manasses his father had made, and served them.	And he did evil in the sight of the Lord, as Manasses his father had done: and he sacrificed to all the idols which Manasses his father had made, and served them.
2Par.33.23	And he did not humble himself before the Lord, as Manasses his father had humbled himself, but committed far greater sin.	And he did not humble himself before the Lord, as Manasses his father had humbled himself, but committed far greater sins.
2Par.33.25	But the rest of the multitude of the people slew them that had killed Amon, and made Josias his son king in his stead.	But the rest of the multitude of the people slew them that had killed Amen, and made Josias his son king in his stead.
2Par.34.4	And they broke down before him the altars of Baalim, and demolished the idols that had been set upon them: and he cut down the groves and the graven things, and broke them in pieces: and strewed the fragments upon the graves of them that had sacrificed to them.	And they broke down before him the altars of Baalim, and demolished the idols that had been set upon them: and be cut down the groves and the graven things, and broke them in pieces: and strewed the fragments upon the graves of them that had sacrificed to them.
2Par.34.12	And they did all faithfully. Now the overseers of the workmen were Jahath and Abdias of the sons of Merari, Zacharias and Mosollam of the sons of Caath, who hastened the work: all Levites skilful to play on instruments.	And they did all faithfully. Now the overseers of the workmen were Jahath and Abdias of the sons of Merari, Zacharias and Mosollam of the sons of Caath, who hastened the work: all Levites skillful to play on instruments.
2Par.35.17	And the children of Israel that were found there, kept the phase at that time, and the feast of unleavened seven days.	And the children of Israel that were found there, kept the phase at that time, and the feast of unleavened bread seven days.
2Par.36.18	And all the vessels of the house of Lord, great and small, and the treasures of the temple and of the king, and of the princes he carried away to Babylon.	And all the vessels of the house of the Lord, great and small, and the treasures of the temple and of the king, and of the princes he carried away to Babylon.
2Par.36.19	And the enemies set fire to the house of God, and broke down the wall of Jerusalem, burnt all the towers, and what soever was precious they destroyed.	And the enemies set fire to the house of God, and broke down the wall of Jerusalem, burnt all the towers, and whatsoever was precious they destroyed.
2Par.36.22	But in the first year of Cyrus king of the Persians, to fulfil the word of the Lord, which he had spoken by the mouth of Jeremias, the Lord stirred up the heart of Cyrus, king of the Persians: who commanded it to be proclaimed through all his kingdom, and by writing also, saying:	But in the first year of Cyrus king of the Persians, to fulfill the word of the Lord, which he had spoken by the mouth of Jeremias, the Lord stirred up the heart of Cyrus king of the Persians who commanded it to be proclaimed through all his kingdom, and by writing also, saying:
1Esd.2.33	The children of Lod, Hadid and Ono, seven hundred twenty-five.	The children of Lod, Hadid and One, seven hundred twenty-five.
1Esd.4.7	And in the days of Artaxerxes, Beselam, Mithridates, and Thabeel, and the rest that were in the council wrote to Artaxerxes king of the Persians: and the letter of accusation was written in Syrian, and was read in the Syrian tongue.	And in the days of Artaxerxes, Beselam, Mithridates, and Thabeel, and the rest that were in the council wrote to Artaxerxes king of the Persians: and the letter of accusation was written in Syriac, and was read in the Syrian tongue.
1Esd.6.20	For all the priests and the Levites were purified as one man: all were clean to kill the phase for all the children of the captivity, and for their brethren the priests, and themselves.	For all the priests and the Levites were purified as one man: all were clear to kill the phase for all the children of the captivity, and for their brethren the priests, and themselves.
1Esd.8.34	According to the number and weight of everything: and all the weight was written at that time.	According to the number and weight of every thing: and all the weight was written at that time.
1Esd.9.9	For we are bondmen, and in our bondage our God hath not forsaken us, but hath extended mercy upon us before the king of the Persians, to give us life, and to set up the house of our God, and to rebuild the desolations thereof, and to give us a fence in Juda and Jerusalem.	For we are bondmen, and in our bondage our God hath not forsaken us, but hath extended mercy upon us before the king of the Persians, to give us life, and to set up the house of our God, and rebuild the desolations thereof, and to give us a fence in Juda and Jerusalem.
1Esd.9.12	Now therefore give not your daughters to their sons, and take not their daughters for your sons, and seek not their peace, nor their prosperity for ever: that you may be strengthened, and may eat the good things of the land, and may have your children your heirs for ever.	Now therefore give not your daughters to their sons, and take not their daughters for your sons, and seek not their peace, nor their prosperity forever: that you may be strengthened, and may eat the good things of the land, and may have your children your heirs for ever.
1Esd.10.29	And of the sons of Bani, Mosollam, and Melluch, and Adaia, Jasub, and Saal, and Ramoth.	And of the sons of Bani, Mosollam, and Melluch, and Adaia, Jasub, and Seal, and Ramoth.
1Esd.10.34	Of the sons of Bani, Maaddi, Amram, and Uel,	Of the sons of Bani, Maaddi, Amran, and Uel,
2Esd.3.3	But the fish gate the sons of Asnaa built: they covered it, and set up the doors thereof, and the locks, and the bars. And next to them built Marimuth the son of Urias the son of Accus.	But the fish gate the sons of Asnaa built: they covered it, and set up the doors thereof, and tire locks, and the bars. And next to them built Marimuth the son of Urias the son of Accus.
2Esd.5.11	Restore ye to them this day their fields, and their vineyards, and their oliveyards, and their houses: and the hundredth part of the money, and of the corn, the wine, and the oil, which you were wont to exact of them, give it rather for them.	Restore ye to them this day their fields, and their vineyards, and their oliveyards, and their houses: and the hundredth part of the money, and of the corn, the wine, and the oil, which you mere wont to exact of them, give it rather for them.
2Esd.7.37	The children of Lod, of Hadid and Ono, seven hundred twenty-one.	The children of Led, of Hadid and One, seven hundred twenty-one.
2Esd.7.65	And Athersatha said to them, that they should not eat of the holies of holies, until there stood up a priest learned and skilful.	And Athersatha said to them, that they should not eat of the holies of holies, until there stood up a priest learned and skillful.
2Esd.7.70	And some of the heads of the families gave unto the work. Athersatha gave into the treasure a thousand drams of gold, fifty bowls, and five hundred and thirty garments for priests.	And some of the heads of the families gave unto the work. Athersatha gave into the treasure a thousand drama of gold, fifty bowls, and five hundred and thirty garments for priests.
2Esd.7.71	And some of the heads of families gave to the treasure of the work, twenty thousand drams of gold, and two thousand two hundred pounds of silver.	And some of the heads of families gave to the treasure of the work, twenty thousand drama of gold, and two thousand two hundred pounds of silver.
2Esd.7.72	And that which the rest of the people gave, was twenty thousand drams of gold, and two thousand pounds of silver, and sixty-seven garments for priests.	And that which the rest of the people gave, was twenty thousand drama of gold, and two thousand pounds of silver, and sixty-seven garments for priests.
2Esd.9.4	And there stood up upon the step of the Levites, Josue, and Bani, and Cedmihel, Sabania, Bonni, Sarebias, Bani, and Chanani: and they cried with a loud voice to the Lord their God.	And there stood up upon the seep of the Levites, Josue, and Bani, and Cedmihel, Sabania, Bonni, Sarebias, Bani, and Chanani: and they cried with a loud voice to the Lord their God.
2Esd.10.30	And that we would not give our daughters to the people of the land, nor take their daughters for our sons.	And that we would not give our daughters to the people of the land, not take their daughters for our sons.
2Esd.10.31	And if the people of the land bring in things to sell, or any things for use, to sell them on the sabbath day, that we would not buy them on the sabbath, or on the holy day. And that we would leave the seventh year, and the exaction of every hand.	And if the people of the land bring in things to sell, or any things for use, to sell them on the sabbath day, that we would not buy them of them on the sabbath, or on the holy day. And that we would leave the seventh year, and the exaction of every hand.
2Esd.10.32	And we made ordinances for ourselves, to give the third part of a sicle every year for the work of the house of our God,	And we made ordinances for ourselves, to give the third part of a side every year for the work of the house of our God,
2Esd.10.35	And that we would bring the firstfruits of our land, and the firstfruits of all fruit of every tree, from year to year, in the house of our Lord.	And that we would bring the first fruits of our land, and the firstfruits of all fruit of every tree, from year to year, in the house of our Lord.
2Esd.11.25	And in the houses through all their countries. Of the children of Juda some dwelt at Cariath-Arbe, and in the villages thereof: and at Dibon, and in the villages thereof: and at Cabseel, and in the villages thereof.	And in the houses through all their countries. Of the children of Juda so dwelt at Cariath-Arbe, and in the villages thereof: and at Dibon, and in the villages thereof: and at Cabseel, and in the villages thereof.
2Esd.11.26	And at Jesue, and at Molada, and at Bethphaleth,	And at Jesue, and at Molada, and Bethphaleth,
2Esd.11.34	Hadid, Seboim, and Neballat, Lod,	Hadid, Seboim, and Neballat, Led,
2Esd.12.10	And Josue begot Joacim, and Joacim begot Eliasib, and Eliasib begot Joiada,	And Josue beget Joacim, and Joacim beget Eliasib, and Eliasib beget Joiada,
2Esd.12.11	And Joiada begot Jonathan and Jonathan begot Jeddoa.	And Joiada beget Jonathan, and Jonathan beget Jeddoa.
2Esd.12.30	And the priests and the Levites were purified, and they purified the people, and the gates, and the wall.	And the priests and the Levites purified, and they purified the people, and the gates, and the wall.
2Esd.12.31	And I made the princes of Juda go up upon the wall, and I appointed two great choirs to give praise. And they went on the right hand upon the wall toward the dung gate.	And I made the princes of Juda go up upon the wall, and I appointed two great choirs to give praise. And they went on the right hand upon the wall toward the dunghill gate.
Tob.2.18	For we are the children of saints, and look for that life which God will give to those that never change their faith from him.	For we are the children of the saints, and look for that life which God will give to those that never change their faith from him.
Tob.3.3	And now, O Lord, think of me, and take not revenge of my sins, neither remember my offences, nor those of my parents.	And now, O Lord, think of me, and take not revenge of my sins, neither remember my offenses, nor those of my parents.
Tob.4.9	If thou have much give abundantly: if thou have little, take care even so to bestow willingly a little.	If thou have much give abundantly: if thou have a little, take care even so to bestow willingly a little.
Tob.5.2	But how I shall get this money, I cannot tell; he knoweth not me, and I know not him: what token shall I give him? nor did I ever know the way which leadeth thither.	But how I shall get this money, I cannot tell; he knoweth me not, and I know not him: what token shall I give him? nor did I ever know the way which leadeth thither.
Tob.5.25	For our poverty was sufficient for us, that we might account it as riches, that we saw our son.	For poverty was sufficient for us, that we might account it as riches, that we saw our son.
Tob.6.5	Then the angel said to him: Take out the entrails of this fish, and lay up his heart, and his gall, and his liver for thee: for these are necessary for useful medicines.	Then the angel said to him: Take out the entrails of the fish, and lay up his heart, and his gall, and his liver for thee: for these are necessary for useful medicines.
Tob.7.15	And taking the right hand of his daughter, he gave it into the right hand of Tobias, saying: The God of Abraham, and the God of Isaac, and the God of Jacob be with you, and may he join you together, and fulfil his blessing in you.	And taking the right hand of his daughter, he gave it into the right hand of Tobias, saying: The God of Abraham, and the God of Isaac, and the God of Jacob be with you, and may he join you together, and fulfill his blessing in you.
Tob.7.18	And Raguel called to him Anna his wife, and bade her to prepare another chamber.	And Raguel called to him Anna his wife, and bade her prepare another chamber.
Tob.8.4	Then Tobias exhorted the virgin, and said to her: Sara, arise, and let us pray to God to day, and to morrow, and the next day: because for these three nights we are joined to God: and when the third night is over, we will be in our own wedlock.	Then Tobias exhorted the virgin, and said to her: Sara, arise, and let us pray to God today, and tomorrow, and the next day: because for these three nights we are joined to God: and when the third night is over, we will be in our own wedlock.
Tob.8.7	And Tobias said: Lord God of our fathers, may the heavens and the earth, and the sea, and the fountains, and the rivers, and all thy creatures that are in them, bless thee.	And Tobias said: Lord God of our father, may the heavens and the earth, and the sea, and the fountains, and the rivers, and all thy creatures that are in them, bless thee.
Tob.8.24	And of all things which Raguel possessed, he gave one half to Tobias, and made a writing, that the half that remained should after their decease come also to Tobias.	And of all things which Raguel possessed, he gave one half to Tobias, and made him a writing, that the half that remained should after their decease come also to Tobias.
Tob.10.11	Saying: The holy angel of the Lord be with you in your journey, and bring you through safe, and that you may find all things well about your parents, and my eyes may see your children before I die.	Saying: The holy angel of the Lord be with you in your journey, and bring you through safe, and that you may find all things well about your parents, and my eyes see your children before I die.
Tob.11.16	And they glorified God, both he and his wife and all that knew him.	And they glorified God, both he and his wife and all that knew them.
Tob.12.4	But I beseech thee, my father, to desire him, that he would vouchsafe to accept of one half of all things that have been brought.	But I beseech thee, my father, to desire him, that he would vouchsafe to accept one half of all things that have been brought.
Tob.14.2	And after he had lived a hundred and two years, he was buried honorably in Ninive.	And after he had lived a hundred and two years, he was buried honourably in Ninive.
Jdt.4.12	Remember Moses the servant of the Lord overcame Amalec that trusted in his own strength, and in his power, and in his army, and in his shields, and in his chariots, and in his horsemen, not by fighting with the sword, but by holy prayers:	Remember Moses the servant of the Lord, who overcame Amalec that trusted in his own strength, and in his power, and in his army, and in his shields, and in his chariots, and in his horsemen, not by fighting with the sword, but by holy prayers:
Jdt.4.13	So all the enemies of Israel be, if you persevere in this work which you have begun.	So shall all the enemies of Israel be, if you persevere in this work which you have begun.
Jdt.5.2	And he was transported with exceeding great fury and indignation, and he called all the princes of Moab and the leaders of Ammon.	And he was transported with exceeding great fury and indignation, and he called all the princes of Moab and the leaders of Amman.
Jdt.5.5	Then Achior captain of all the children of Ammon answering, said; If thou vouchsafe, my lord, to hear, I will tell the truth in thy sight concerning this people, that dwelleth in the mountains, and there shall not a false word come out of my mouth.	Then Achior captain of all the children of Ammon answering, said: If thou vouch safe, my lord, to hear, I will tell the truth in thy sight concerning this people, that dwelleth in the mountains, and there shall not a false word come out of my mouth.
Jdt.5.14	After they came out of the Red Sea, they abode in the deserts of mount Sina, in which never man could dwell, or son of man rested.	And after they came out of the Red Sea, they abode in the deserts of mount Sina, in which never man could dwell, or son of man rested.
Jdt.5.25	But if there be no offence of this people in the sight of their God, we cannot resist them because their God will defend them: and we shall be a reproach to the whole earth.	But if there be no offense of this people in the sight of their God, we can not resist them, because their God will defend them: and we shall be a reproach to the whole earth.
Jdt.6.15	Saying: O Lord God of heaven and earth, behold their pride, and look on our low condition, and have regard to the face of thy saints, and shew that thou forsakest not them that trust on thee, and that thou humblest them that presume of themselves, and glory in their own strength.	Saying: O Lord God of heaven and earth, behold their pride, and look on our low condition, and have regard to the face of thy saints, and shew that thou forsakes not them that trust on thee, and that thou humblest them that presume of themselves, and glory in their own strength.
Jdt.7.3	All these prepared themselves together to fight against the children of Israel, and they came by the hillside to the top, which looketh toward Dothain, from the place which is called Belma, unto Chelmon, which is over against Esdrelon.	All these prepared themselves together to fight against the children of Israel, and they came by the hillside to the top, which looketh toward Dothain, from the place which is called Behlma, unto Chelmon, which is over against Esdrelon.
Jdt.7.8	But the children of Ammon and Moab came to Holofernes, saying: The children of Israel trust not in their spears, nor in their arrows, but the mountains are their defence, and the steep hills and precipices guard them.	But the children of Ammon and Moab came to Holofernes, saying: The children of Israel trust not in their spears, nor in their arrows, but the mountains are their defense, and the steep hires and precipices guard them.
Jdt.7.19	We have sinned with our fathers, we have done unjustly, we have committed iniquity:	We have sinned with our fathers we have done unjustly, we have commited iniquity:
Jdt.7.25	But if after five days be past there come no aid, we will do the things which you have spoken.	But if after five days be past there come no aid, we will do the things which you leave spoken.
Jdt.8.1	Now it came to pass, when Judith a widow had heard these words, who was the daughter of Merari, the son of Idox, the son of Joseph, the son of Ozias, the son of Elai, the son of Jamnor, the son of Gedeon, the son of Raphaim, the son of Achitob, the son of Melchias, the son of Enan, the son of Nathanias, the son of Salathiel, the son of Simeon, the son of Ruben:	Now it came to pass, when Judith a widow had heard these words, who was the daughter of Merari, the son of Idox, the son of Joseph, the son of Ozias, the son of Elai, the son of Jamnor, the son of Gedeon, the son of Raphaim, the son of Achitob, the son of Melehias, the son of Enan, the son of Nathanias, the son of Salathiel, the son of Simeon, the son of Ruben:
Jdt.9.2	Lord God of my father Simeon, who gavest him a sword to execute vengeance against strangers, who had defiled by their uncleanness, and uncovered the virgin unto confusion:	O Lord God of my father Simeon, who gavest him a sword to execute vengeance against strangers, who had defiled by their uncleanness, and uncovered the virgin unto confusion:
Jdt.9.3	And who gavest their wives to be made a prey, and their daughters into captivity: and all their spoils to be divided to the servants, who were zealous with thy zeal: assist, I beseech thee, O Lord God, me a widow.	And who gavest their wives to be made a prey, and their daughters into captivity: and all their spoils to be divided to thy servants, who were zealous with thy zeal: assist, I beseech thee, O Lord God, me a widow.
Jdt.13.28	And that thou mayst find that it is so, behold the head of Holofernes, who in the contempt of his pride despised the God of Israel: and threatened them with death, saying: When the people of Israel shall be taken, I will command thy sides to be pierced with a sword.	And that thou mayst find that it is so, behold the head of Holofernes, who in the contempt of his pride despised the God of Israel: and threatened thee with death, saying: When the people of Israel shall be taken, I will command thy sides to be pierced with a sword.
Jdt.14.7	And immediately at break of day, they hung up the head of Holofernes upon the walls, and every man took his arms, and they went out with a great noise and shouting.	And immediately at break of day, they hung up the head of Holofernes upon the walls, and every man took his arms, and they sent out with a great noise and shouting.
